numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
344,4.0,Biotechnology,technology analyst,7.83,Doctor,trillium medical ventures,mount sinai school of medicine of new york university,2
273,1.0,Accounting,banker,19.32,MBA,citi,tbilisi state university,2
197,2.0,Investment Banking,spring,5.25,Master,wall street club investment management group,baruch college,2
174,5.0,Human Resources Services,human resources coordinator,8.67,Master,virgo medical services inc,university of scranton,2
234,3.0,Executive Office,sales marketing coordinator,15.75,Bachelor,morgan stanley,university of calgary,2
198,2.0,Financial Services,financial representative,43.82,Bachelor,jpmorgan chase bank n a,nyu stern school of business,2
242,2.0,Financial Services,frontend developer,9.92,Bachelor,amazon,university of massachusetts amherst,2
151,3.0,Non-profit Organizations,law,12.9,Doctor,nyc department of social services,georgetown university law center,2
356,3.0,Book and Periodical Publishing,editor,35.0,Bachelor,scholastic,nyu stern school of business,2
288,2.0,Apparel & Fashion,social media,5.25,Bachelor,shopbop,university of michigan,2
209,2.0,Banking,fund accountant,26.42,Bachelor,new york state common retirement fund,city university of new york herbert h lehman college,2
201,3.0,Apparel & Fashion,visual merchandising,0.33,Bachelor,alice olivia,fashion institute of technology,2
310,6.0,Research Services,research scientist,14.66,Doctor,the estée lauder companies inc,icahn school of medicine at mount sinai,2
197,3.0,Government Administration,research,11.99,Doctor,nyc department of health and mental hygiene,cuny graduate school of public health and health policy,2
262,2.0,Research,substitute teacher,6.75,Doctor,rutgers school of graduate studies,rutgers school of graduate studies,2
235,6.0,Artists and Writers,strategic,10.0,Bachelor,sarah burney art advisory,wellesley college,2
301,4.0,Non-profit Organizations,systems analyst,33.25,Bachelor,harvard business publishing,university of colorado denver,2
270,2.0,Computer Software,writer,4.59,Master,sirens media,the university of chicago,2
318,5.0,Book and Periodical Publishing,plant controller,26.25,Bachelor,oxford university press,queens college,2
264,3.0,Medical Practices,emergency medical technician,11.83,Master,community medical center toms river nj,rutgers university,2
248,6.0,Marketing & Advertising,professor,0.92,Bachelor,overlead,humboldt universität zu berlin,2
330,1.0,Photography,photographer,34.0,Doctor,paul kessel,colgate university,2
248,3.0,Musicians,actor,0.42,Bachelor,beauty and the beast,new york university,2
309,3.0,Medical Practice,clinical,10.76,Doctor,mount sinai health system,university of michigan medical school,2
157,2.0,Environmental Services,environmental engineer,7.59,Bachelor,efi global,montclair state university,2
194,4.0,Retail Office Equipment,business development consultant,41.0,Bachelor,vgp venture growth partners,fordham university,2
215,5.0,Higher Education,clinical,10.0,Doctor,naugatuck valley community college,case western reserve university,2
266,1.0,Real Estate,public relations,11.34,Bachelor,deutsche bank,university of miami,2
180,5.0,Computer Software,application development,12.34,empty,curtis mallet prevost colt mosle llp,the cooper union for the advancement of science and art,2
293,2.0,Computer Software,r d engineer,3.16,Master,american express,new york university,2
209,1.0,Design Services,design consultant,0.84,Associate,j cohler mason design,nyu,2
229,4.0,Financial Services,consulting,10.84,MBA,accenture,columbia business school,2
290,3.0,Financial Services,compliance officer,30.25,Bachelor,barclays,nyu stern school of business,2
312,1.0,Pharmaceuticals,maintenance technician,4.91,Associate,eli lilly and company,triangle tech,2
320,1.0,Graphic Design,graphic design,6.09,Master,palm drive capital,harvard business school online,2
332,2.0,Entertainment,writer,13.92,Master,nyu tisch school of the arts,nyu tisch school of the arts,2
391,4.0,Financial Services,underwriter,29.41,Bachelor,the hartford,syracuse university,2
246,2.0,Hospital & Health Care,social worker,8.5,Master,nyc health hospitals,hunter college,2
246,4.0,Marketing & Advertising,sales producer,5.08,Bachelor,dac,western connecticut state university,2
168,5.0,Media Production,producer,7.75,Bachelor,4kids entertainment,queens college,2
250,5.0,Entertainment,writer,19.24,Master,citizen global,new york university,2
292,3.0,Biotechnology Research,research scientist,0.34,MBA,bioactive technology llc,duke university the fuqua school of business,2
192,1.0,Business Consulting and Services,education,10.82,Doctor,psychotherapeutic evaluational programs inc,st john s university school of education,2
345,6.0,Research Services,research scientist,15.42,Doctor,new york genome center,baylor college of medicine,2
267,4.0,Higher Education,research,13.65,Doctor,elsevier,the graduate center city university of new york,2
174,3.0,Non-profit Organization Management,journalist,8.5,Master,committee to protect journalists,columbia university in the city of new york,2
384,2.0,Consumer Goods,product development,4.42,Bachelor,l occitane group b corp,ewha womans university,2
326,3.0,Research Services,software engineer i,15.92,Doctor,asml,temple university,2
376,5.0,Accounting,tax preparer,14.75,empty,cbiz,university of miami,2
213,1.0,Financial Services,quantitative analyst,9.08,Master,point72 asset management,new york university,2
183,6.0,Transportation/Trucking/Railroad,franchise,11.16,Bachelor,caru containers north america,rutgers university,2
312,4.0,Investment Management,portfolio,24.34,Bachelor,cubist,harvard university,2
300,4.0,Advertising Services,marketing coordinator,6.75,Bachelor,young rubicam,boston university,2
355,2.0,Real Estate,real estate agent,15.41,Bachelor,real new york,university of leeds,2
368,1.0,Photography,graphic designer,3.16,Bachelor,aoki photography llc,savannah college of art and design,2
322,2.0,Non-profit Organization Management,coordinator,18.17,Bachelor,american council of learned societies acls,hunter college,2
302,4.0,Design Services,marketing consultant,20.75,Bachelor,preventive care tax liability advisor,queens college,2
157,2.0,Higher Education,teaching,14.49,Doctor,university of illinois urbana champaign,university of illinois urbana champaign,2
250,1.0,Architecture & Planning,architect,5.42,Bachelor,urban architectural initiatives ra pc,rensselaer polytechnic institute,2
266,2.0,Musicians,actor,47.0,empty,john goldfarb please come home,columbia university in the city of new york,2
157,3.0,Accounting,auditor,0.17,Bachelor,ey,university at buffalo,2
372,2.0,Broadcast Media Production and Distribution,network administrator,18.25,empty,custom computer specialists,nassau community college,2
321,7.0,Computer and Network Security,md,0.5,Bachelor,vertu consulting,southeast missouri state university,2
348,6.0,Insurance,investment,30.33,Doctor,aon reinsurance solutions,new york university,2
217,2.0,Hospitals and Health Care,research scientist,24.83,Doctor,weill cornell medicine,wesleyan university,2
345,3.0,Hospital & Health Care,teaching,16.17,Doctor,the george washington university school of medicine and health sciences,the george washington university school of medicine and health sciences,2
320,2.0,Research Services,research,18.33,Doctor,cold spring harbor laboratory,columbia university in the city of new york,2
211,4.0,Information Technology & Services,software architect,12.91,Bachelor,ltimindtree,sant gadge baba amravati university amravati,2
188,1.0,Wellness and Fitness Services,sales representative,21.0,Bachelor,dynamic labs,state university of ny buffalo,2
365,3.0,Research Services,teaching,12.59,Doctor,new york university,national institute of informatics,2
253,4.0,Biotechnology,research scientist,7.16,Doctor,mantle therapeutics,icahn school of medicine at mount sinai,2
266,1.0,Newspaper Publishing,press,11.67,Master,advanced optowave corporation,baruch college,2
191,5.0,Non-Profit Organization Management,technical product,22.42,MBA,gs1 us,product school,2
205,1.0,Government Administration,development coordinator,3.59,empty,bronx river alliance,hunter college,2
273,4.0,Philanthropic Fundraising Services,consulting,36.92,Bachelor,marketing sales and philanthropic consulting,rutgers university,2
345,5.0,Personal Care Product Manufacturing,key account sales,17.0,empty,mana products,saint joseph s university,2
368,2.0,Hospitals and Health Care,teaching,3.58,Doctor,weill cornell medicine,columbia university in the city of new york,2
268,2.0,Law Practice,teacher,18.81,Master,rainbow getaways,santa monica college,2
197,1.0,Retail Luxury Goods and Jewelry,stylist,15.66,Master,tiffany co,fashion institute of technology,2
316,4.0,Hospital & Health Care,physician,12.73,Doctor,clearchoice dental implant centers,university of detroit mercy school of dentistry,2
207,2.0,Media Production,writer,57.42,Master,butterfield library,johns hopkins university,2
203,3.0,Mental Health Care,teacher,10.15,Master,creative arts psychotherapy nyc,new york university,2
327,5.0,Retail Apparel and Fashion,buying,7.92,Bachelor,sies marjan,london college of fashion university of the arts london,2
377,1.0,Retail,administrative,8.66,Bachelor,macy s merchandising group,state university of new york at binghamton,2
352,2.0,Hospital & Health Care,physician,15.07,Doctor,northwell health,university of minnesota medical school,2
238,4.0,Financial Services,quantitative analyst,2.41,Bachelor,jane street,the university of texas at austin,2
390,2.0,Real Estate,real estate broker,15.33,Bachelor,united real estate,boston college,2
282,3.0,Recreational Facilities,accounting finance,29.17,MBA,the juilliard school,st john s university the peter j tobin college of business,2
268,2.0,Hospital & Health Care,teaching,9.42,Doctor,icahn school of medicine at mount sinai,university of illinois at chicago,2
246,3.0,Software Development,software engineer,1.59,Bachelor,google,duke university,2
372,1.0,Museums & Institutions,stage,6.49,Bachelor,the museum of modern art,hunter college,2
274,1.0,Investment Management,administrative coordinator,10.58,Bachelor,nyc hedge fund 26 billion aum,mercyhurst university,2
164,2.0,Truck Transportation,consulting engineer,29.59,MBA,u s department of transportation usdot,the cooper union for the advancement of science and art,2
254,2.0,Media Production,writer,9.59,Bachelor,business insider,stony brook university,2
318,1.0,Wellness and Fitness Services,admissions,7.0,Master,memorial sloan kettering cancer center,monroe college,2
263,2.0,Hospital & Health Care,staffing,9.41,MBA,montefiore health system,mercy college,2
207,5.0,Non-profit Organization Management,professor,1.92,Master,st john s university,st john s university,2
160,2.0,Medical Practices,clinical research,30.84,Doctor,icahn school of medicine at mount sinai,stony brook medicine,2
277,2.0,Performing Arts,substitute teacher,18.17,Bachelor,big league productions,schreyer honors college at penn state,2
168,3.0,"Health, Wellness & Fitness",nursing,13.42,empty,mount sinai st luke s institute for bariatric and minimally invasive surgery,new york university,2
349,1.0,Graphic Design,teaching,7.4,Bachelor,university of michigan,university of michigan,2
157,4.0,Apparel & Fashion,stylist,5.0,Master,dilara findikoglu,central saint martins university of the arts london,2
336,5.0,Renewables & Environment,sustainability,6.01,Master,apex clean energy,carnegie mellon university heinz college of information systems and public policy,2
188,2.0,Higher Education,professor,14.34,Doctor,yale university,princeton university,2
301,5.0,Fundraising,community relations,42.5,Bachelor,wingspan consulting llc,hampshire college,2
269,2.0,Research Services,research,14.5,Doctor,hexmodal,icahn school of medicine at mount sinai,2
297,1.0,Publishing,student,7.0,Bachelor,writers house,columbia university graduate school of journalism,2
395,3.0,Nanotechnology Research,research scientist,9.84,Doctor,harry s inc,penn state university,2
343,4.0,Telecommunications,aircraft technician,46.0,empty,nu labs inc,new jersey institute of technology,2
392,2.0,Apparel & Fashion,style,15.66,empty,j hilburn,montclair state university,2
298,2.0,Research Services,professor,26.57,Doctor,zhejiang guangsha university of construction,fordham university,2
199,1.0,Higher Education,store,11.0,Bachelor,all pro billing solutions llc,pomorsk state university named after m v lomonosov,2
169,6.0,Real Estate,photographer,13.25,Bachelor,dna design co,the calhoun school,2
195,4.0,Accounting,accounting,15.66,MBA,petra funds group,saint peter s university,2
229,1.0,Hospital & Health Care,public relations,7.07,empty,rutgers university,rutgers university new brunswick,2
196,2.0,Hospital & Health Care,physician,10.33,Doctor,urology care alliance,columbia university vagelos college of physicians and surgeons,2
270,3.0,Research,research analyst,18.18,Doctor,unfpa brasil,universidade federal fluminense,2
224,4.0,Government Administration,social,17.75,Master,coro new york leadership center,long island university,2
299,4.0,Pharmaceuticals,admissions,12.76,empty,bristol myers squibb,monmouth university,2
248,4.0,Advertising Services,gm,12.0,Bachelor,giovanni cilberto,parsons school of design the new school,2
301,2.0,Financial Services,research,18.0,Doctor,the d e shaw group,harvard university,2
221,5.0,Education Administration Programs,occupational therapist,19.64,Master,greystone park psychiatric hospital,kean university,2
197,2.0,Defense and Space Manufacturing,consulting engineer,24.59,Bachelor,federal aviation administration,project management institute,2
186,1.0,Writing & Editing,teaching,13.83,Bachelor,clarkstown central school district,southern new hampshire university,2
193,5.0,Retail Apparel and Fashion,buying,4.84,Bachelor,meticulous knitwear,the art institute of california san francisco,2
409,5.0,Architecture & Planning,marketing,15.58,Bachelor,adler lighting sales,state university of new york at plattsburgh,2
396,2.0,Music,photo,7.25,Bachelor,mk productions,montclair state university,2
279,4.0,Research,scientist,8.92,Doctor,pfizer,university of gothenburg,2
237,2.0,Legal Services,law,6.41,Doctor,the legal aid society,syracuse university college of law,2
308,1.0,Apparel & Fashion,social media marketing,5.17,Bachelor,expertvoice,university of iowa,2
259,4.0,Marketing & Advertising,wealth,8.08,empty,mindshare,university of pittsburgh,2
267,4.0,Legal Services,research engineer,18.24,Doctor,goodwin,college of nanoscale sciece and engineering suny albany,2
269,3.0,Design Services,graphic design,18.09,Master,community solutions inc,city university of new york hunter college,2
158,1.0,Primary/Secondary Education,substitute teacher,34.09,Master,wayne hills high school,william paterson university of new jersey,2
334,3.0,Automotive,sales customer service,12.92,MBA,genesis motor america,grand canyon university,2
316,2.0,Market Research,research scientist,5.68,Doctor,columbia technology ventures,columbia university in the city of new york,2
227,1.0,Photography,photographer,19.58,Master,nyc department of education,new york university,2
204,2.0,Computer Software,software engineer,5.99,Bachelor,the new york times,city university of new york,2
185,2.0,Media Production,spring,5.58,Bachelor,mediacom,university of connecticut,2
249,3.0,Non-profit Organization Management,small business,5.5,Bachelor,green dog walks llc,new york university,2
156,5.0,Non-profit Organizations,directors,37.84,Master,american associates of the sts forum 501 c3,teachers college columbia university,2
336,4.0,Food and Beverage Manufacturing,marketing sales,23.41,Bachelor,givaudan,tecnológico de monterrey,2
352,1.0,Entertainment Providers,actor,51.0,Bachelor,john eckert,university of north texas,2
270,1.0,Executive Offices,administrative,15.42,empty,blackstone,delaware state university,2
319,2.0,Real Estate,financial consultant,10.25,Master,the richman group,bentley university mccallum graduate school of business,2
157,3.0,"Health, Wellness & Fitness",community,39.48,Bachelor,the fort nyc,hobart and william smith colleges,2
264,3.0,Research Services,professor,10.08,Doctor,barnard college,new york university,2
159,5.0,Security & Investigations,security,19.33,Bachelor,flexcar,western connecticut state university,2
222,2.0,Hospital & Health Care,clinical,1.0,Doctor,new york presbyterian hospital,columbia university school of nursing,2
251,5.0,Design Services,architect,1.83,Bachelor,fashion institute of technology,fashion institute of technology,2
188,2.0,Writing & Editing,writer,10.83,Master,formedics,monmouth university,2
213,7.0,Venture Capital & Private Equity,accountant,21.34,MBA,stonepeak infrastructure partners,university of virginia darden school of business,2
330,1.0,Higher Education,public relations,10.16,Bachelor,suny college of optometry university eye center,syracuse university,2
368,1.0,Architecture & Planning,research,5.4,Doctor,princeton university,princeton university,2
367,4.0,Research,research,9.83,Master,werk insight,fordham university graduate school of arts and sciences,2
339,4.0,Primary/Secondary Education,teacher,20.74,Master,the city college of new york,city university of new york city college,2
268,1.0,International Affairs,reporter,4.66,Master,unicef,美国哥伦比亚大学,2
