numconnections,seniority,currentindustry,mapped_role,total_experience_years,highest_degree,company_cleaned,campus_cleaned,cluster_id
500,5.0,Banking,commercial banking,6.0,Bachelor,dnb bank,hofstra university,1
500,3.0,Financial Services,interaction designer,9.83,Bachelor,metropolitan partners group,duke university,1
500,6.0,Public Relations & Communications,digital,16.25,Bachelor,nike communications inc,william mary,1
500,4.0,Musicians,social media,16.25,Bachelor,slang music,university of central florida,1
500,6.0,Entertainment Providers,treasurer,18.42,Bachelor,top drwr,zicklin school of business,1
500,7.0,Financial Services,capital markets,31.58,Bachelor,16rock asset management,watchung regional high school,1
500,5.0,Advertising Services,marketing coordinator,12.25,Bachelor,revolt,susquehanna university,1
393,3.0,Computer Software,research,5.83,Bachelor,capital one,university of georgia terry college of business,1
500,3.0,Management Consulting,lecturer,11.48,Bachelor,oliver wyman,dartmouth college,1
500,5.0,Management Consulting,compliance officer,24.26,Bachelor,oliver wyman,association of certified fraud examiners,1
500,2.0,Financial Services,tax preparer,12.25,Bachelor,guggenheim partners,marian university indianapolis,1
500,5.0,Photography,photographer,4.33,Bachelor,philip nix,savannah college of art and design,1
500,1.0,Media Production,editor,8.66,Bachelor,business insider,syracuse university,1
500,2.0,Capital Markets,investment analyst,0.84,Bachelor,truist securities,penn state university,1
500,4.0,Construction,construction project,15.58,Bachelor,holt construction corp,university of florida,1
500,2.0,Computer Software,product,9.08,Bachelor,petal,harvard business school online,1
500,2.0,Capital Markets,financial representative,3.16,Bachelor,jpmorgan chase co,seton hall university,1
383,1.0,Education Management,actor,6.42,Bachelor,edinburgh festival fringe,university of central florida,1
500,2.0,Financial Services,ambassador,2.34,Bachelor,mcgraw hill,university at buffalo,1
500,1.0,Government Administration,lifeguard,2.91,Bachelor,cert division at the software engineering institute,the george washington university,1
461,2.0,Media Production,producer,6.42,Bachelor,npr,new york university,1
485,2.0,Cosmetics,copywriter,5.59,Bachelor,l oréal,penn state university,1
500,6.0,Management Consulting,directors,7.67,Bachelor,henningson black level,lucerne university of applied sciences and arts,1
500,1.0,Media Production,editor,16.41,Bachelor,daily kos,the george washington university,1
500,6.0,Financial Services,investor relations,27.25,Bachelor,moomoo,university of pennsylvania the wharton school,1
500,6.0,Insurance,insurance agent,20.67,Bachelor,metlife,the university of connecticut,1
500,7.0,Travel Arrangements,directors,45.66,Bachelor,judy perl worldwide travel,the university of texas at austin,1
500,5.0,Financial Services,investment,10.66,Bachelor,voice wealth management,harvard university,1
500,5.0,Government Administration,communications,19.91,Bachelor,office of the queens borough president,queens college,1
500,5.0,Entertainment Providers,actor,10.33,Bachelor,moviemaker film program,syracuse university,1
500,4.0,Public Relations & Communications,account coordinator,12.08,Bachelor,karla otto,syracuse university s i newhouse school of public communications,1
500,7.0,Market Research,marketing officer,23.08,Bachelor,brightside research solutions,providence college,1
396,4.0,Management Consulting,scientific,7.16,Bachelor,accenture,cornell university,1
500,3.0,Computer Software,talent acquisition coordinator,11.83,Bachelor,samsung ads,monroe university,1
500,1.0,Music,actor,8.33,MBA,metropolitan opera,quantic school of business and technology,1
500,2.0,Real Estate,brokerage,5.68,Bachelor,jpmorgan chase co,rutgers business school,1
500,5.0,Higher Education,computer,15.0,Bachelor,braze,city university of new york college of staten island,1
500,5.0,Advertising Services,digital media,19.41,Bachelor,liftoff mobile,fairleigh dickinson university,1
500,5.0,Financial Services,nanny,4.17,Bachelor,northwestern mutual,suny new paltz,1
500,7.0,"Technology, Information and Internet",software architect,26.16,Bachelor,verndale,boston college,1
460,2.0,Higher Education,host,29.81,Bachelor,suffolk county community college,five towns college,1
500,1.0,Insurance,underwriting,9.83,Bachelor,sompo,vassar college,1
500,6.0,Retail Apparel and Fashion,creative,10.0,Bachelor,negative inc,university of pennsylvania,1
500,2.0,Financial Services,investment banking analyst,9.66,Bachelor,j p morgan,dartmouth college,1
500,5.0,Higher Education,substitute teacher,7.42,Bachelor,mathnasium the math learning center,rochester institute of technology,1
500,5.0,Computer Software,talent,7.42,Bachelor,attio,university of virginia,1
500,3.0,Computer Software,data scientist,3.0,High School,the graduate center city university of new york,james madison university,1
500,5.0,Advertising Services,digital,21.25,Bachelor,mastercard,parsons school of design the new school,1
500,6.0,Retail,strategist,13.33,Bachelor,parfums quartana,rutgers college,1
500,4.0,Venture Capital and Private Equity Principals,ambassador,8.67,Bachelor,alixpartners,columbia university in the city of new york,1
500,5.0,Entertainment,producer,10.84,Bachelor,macmillan audio,the ohio state university,1
500,6.0,Higher Education,capital markets,23.75,Bachelor,capco,finra,1
500,2.0,Computer Software,research,5.25,Bachelor,goldman sachs,columbia engineering,1
500,5.0,Non-profit Organization Management,education,8.83,Bachelor,ndn collective,arizona state university,1
500,3.0,Financial Services,tax preparer,5.34,Bachelor,celonis,auburn university harbert college of business,1
456,5.0,Music,video editor,10.01,Bachelor,business insider,city university of new york hunter college,1
396,1.0,Education Administration Programs,style,11.42,Bachelor,bergdorf goodman,barnard college,1
436,1.0,Photography,artist,4.16,Bachelor,the lower eastside girls club of new york,new york university,1
428,5.0,Design Services,graphic designer,8.91,Bachelor,the estée lauder companies inc,new jersey institute of technology,1
500,4.0,Design,production,13.49,Bachelor,bb props,new york institute of technology,1
500,3.0,Financial Services,finance,3.16,Bachelor,faropoint,baruch college,1
500,5.0,Marketing and Advertising,creative,9.51,Bachelor,ogilvy,the university of texas at austin,1
500,6.0,"Technology, Information and Internet",creative,8.26,Bachelor,1638 digital,university of wales cardiff,1
500,5.0,Apparel & Fashion,design,7.17,Bachelor,signal brands,north carolina state university,1
424,5.0,Airlines and Aviation,strategy business development,26.5,Bachelor,conciel,washington university in st louis olin business school,1
358,1.0,Internet,social media marketing,5.34,Bachelor,doximity,rutgers business school,1
475,1.0,Financial Services,phlebotomist,6.34,Bachelor,knipper health,penn foster,1
500,3.0,Higher Education,journalist,33.0,Bachelor,medforth global healthcare education,university of miami,1
500,7.0,Hospital & Health Care,clinical,19.75,Bachelor,newyork presbyterian hospital,university of south carolina,1
500,4.0,Apparel & Fashion,sales,18.67,Bachelor,ripple junction design co,laboratory institute of merchandising,1
500,4.0,Consumer Goods,mergers acquisitions,21.08,Bachelor,designlab,georgetown university,1
500,5.0,Advertising Services,creative,29.0,Bachelor,freelance,lee strasberg theatre institute,1
372,3.0,Performing Arts,teacher,7.41,Bachelor,new york city center,university of michigan college of literature science and the arts,1
500,6.0,Investment Management,wealth,18.67,Bachelor,magnus financial group llc,the american college of financial services,1
500,3.0,Media Production,substitute teacher,13.43,Bachelor,natural resources defense council nrdc,allegheny college,1
500,5.0,Banking,equity analyst,4.08,Bachelor,education growth partners,university of north carolina at chapel hill,1
500,1.0,Broadcast Media,reporter,24.49,Bachelor,univision communications inc,university of havana,1
500,6.0,Computer Software,web developer,38.83,Bachelor,nasa international space apps challenge,state university of new york college at plattsburgh,1
500,7.0,Import & Export,investment,7.75,Bachelor,bidlyt,bentley university,1
500,4.0,Computer Software,machine engineer,9.51,Bachelor,eliseai,university of rochester,1
478,2.0,Performing Arts,production,17.5,Bachelor,avant gardner,state university of new york college at plattsburgh,1
500,6.0,Political Organization,strategist,12.5,Bachelor,english immersion association,princeton university,1
500,2.0,Mechanical Or Industrial Engineering,project engineer,4.59,Bachelor,jaros baum bolles,washington and lee university,1
437,3.0,Design Services,small business,15.75,Bachelor,max steiner design,parsons school of design the new school,1
500,2.0,Publishing,writer,3.75,Bachelor,condé nast,florida a m university,1
500,6.0,IT Services and IT Consulting,major account,36.5,Bachelor,kyndryl,fairleigh dickinson university,1
500,7.0,Financial Services,counselor,12.58,Bachelor,gradshot,columbia university,1
500,2.0,Musicians,hostess,8.5,Bachelor,c3 presents,penn state university,1
500,5.0,Entertainment Providers,digital media,13.67,Bachelor,warnermedia,saint john s university,1
500,2.0,Non-profit Organizations,law,13.57,Bachelor,pa lante harlem inc,city university of new york school of law,1
500,1.0,Real Estate,real estate,24.08,Bachelor,william pitt sotheby s international realty,new york university leonard n stern school of business,1
500,5.0,Gambling & Casinos,marketing communications,19.74,Bachelor,rivalry com,swinburne university of technology,1
448,5.0,Marketing & Advertising,creative,14.91,Bachelor,dotdash meredith,new york university,1
500,7.0,Food and Beverage Services,directors,10.25,Bachelor,le botaniste,united business institute,1
500,4.0,Marketing & Advertising,press,17.16,Bachelor,abbvie,friends academy,1
500,2.0,Financial Services,lifeguard,4.08,Bachelor,nuveen a tiaa company,boston university,1
467,3.0,Design Services,art,8.5,Bachelor,inizio evoke,university of illinois at chicago,1
500,3.0,Staffing & Recruiting,relations,21.75,Bachelor,barclays,lafayette college,1
500,6.0,Information Technology & Services,business development consultant,27.09,Bachelor,golfstripes,university of maryland global campus,1
500,5.0,Banking,treasurer,9.51,Bachelor,crossboundary,the wharton school,1
415,1.0,Media Production,producer,10.08,Bachelor,freelance,castleton university,1
500,5.0,Software Development,business development,17.0,Bachelor,apply digital,indiana university kelley school of business,1
500,2.0,Financial Services,equity analyst,5.51,Bachelor,morgan stanley,syracuse university martin j whitman school of management,1
500,2.0,Advertising Services,brand ambassador,13.51,Bachelor,gymshark,university of bridgeport,1
500,5.0,Entertainment,producer,18.0,Bachelor,keller noll,american university,1
500,6.0,Financial Services,investment banking,13.0,Bachelor,kohlberg company,washington university in st louis,1
500,6.0,Media Production,marketing communications,17.57,Bachelor,vydia,monmouth university,1
391,5.0,Public Relations and Communications Services,market,2.83,Bachelor,buttonwood mementos llc,le moyne college,1
500,4.0,Management Consulting,social,6.9,Bachelor,guidehouse,fordham university,1
500,1.0,Broadcast Media,journalist,1.67,High School,news decoder,new york university,1
449,3.0,Information Technology & Services,mechanical engineering,5.83,Bachelor,axens,university of michigan,1
500,7.0,IT Services and IT Consulting,information officer,23.92,Bachelor,hofstra university,hofstra university,1
449,2.0,Computer Software,software development engineer,9.34,Bachelor,amazon,university of cape town,1
500,5.0,Apparel & Fashion,social media,14.41,Bachelor,l oréal,university of delaware,1
500,6.0,Marketing & Advertising,media,6.66,Bachelor,publicis groupe,clark university,1
500,3.0,Computer Software,software engineering,6.0,Bachelor,linkedin,university of southern california,1
500,5.0,Retail,communications,20.0,Bachelor,the vitamin shoppe,vassar college,1
395,5.0,Retail Apparel and Fashion,design,12.16,Bachelor,tory burch,fashion institute of technology,1
500,5.0,Retail Apparel and Fashion,design,22.33,Bachelor,republic clothing group,purdue university,1
500,4.0,Financial Services,product marketing,10.92,Bachelor,nayya,product school,1
500,6.0,"Technology, Information and Internet",technical product,29.76,Bachelor,everyday health,general assembly,1
500,2.0,Law Practice,law,30.92,Bachelor,new york botanical garden,harvard university,1
